Education,Experience,Location,Job_Title,Age,Gender,Salary
High School,14,Urban,Analyst,61,Female,75559.24411372501
High School,7,Urban,Director,21,Male,85397.13779571372
Master,11,Rural,Director,22,Female,112787.3492558224
PhD,4,Suburban,Analyst,60,Female,107455.1349481504
Bachelor,17,Rural,Manager,63,Female,108464.32013867843
High School,21,Rural,Manager,58,Male,70708.87031700685
PhD,14,Suburban,Analyst,22,Female,136466.95140894435
High School,5,Rural,Manager,45,Male,66983.27059355342
Master,24,Suburban,Director,47,Male,139341.89767415726
PhD,5,Rural,Director,60,Male,126484.77415596208
High School,13,Suburban,Manager,21,Female,88374.4479673091
PhD,5,Suburban,Director,37,Female,145434.53439582724
Master,11,Suburban,Director,62,Male,110485.5886176369
Bachelor,19,Suburban,Analyst,59,Male,84101.852687414
High School,2,Suburban,Manager,41,Female,80968.49087631401
PhD,15,Rural,Manager,39,Male,131229.4879372722
Master,11,Rural,Analyst,52,Female,112833.67281239793
High School,8,Urban,Analyst,58,Male,69941.28708137886
Bachelor,29,Suburban,Manager,52,Male,97354.26749032356
Bachelor,8,Suburban,Analyst,32,Male,68217.7938380033
PhD,5,Suburban,Manager,23,Female,127759.07632937071
Master,7,Suburban,Director,45,Female,137105.24731983276
Master,29,Suburban,Engineer,50,Female,118282.8096652156
PhD,22,Rural,Manager,64,Male,164542.83698804962
Master,2,Urban,Director,39,Male,129257.55344191214
Bachelor,28,Suburban,Manager,61,Female,97800.25540414132
Bachelor,24,Urban,Director,27,Male,117826.5765344791
Bachelor,12,Rural,Manager,34,Male,101663.05778970802
High School,28,Rural,Director,42,Female,99434.6392807138
PhD,28,Urban,Engineer,23,Female,148023.53264490823
High School,20,Suburban,Director,45,Female,103997.30812571551
Master,19,Urban,Director,40,Female,140086.47124713028
PhD,22,Urban,Analyst,25,Female,149741.55027515185
PhD,28,Urban,Manager,37,Female,157707.05596425082
High School,13,Urban,Analyst,20,Male,73043.43575162995
High School,3,Urban,Analyst,63,Female,57615.23341761047
PhD,18,Suburban,Manager,29,Female,139034.76260983682
High School,9,Suburban,Director,62,Male,93448.60001993066
Master,11,Suburban,Director,52,Male,118732.87974017202
PhD,3,Rural,Director,33,Female,118165.08446631998
High School,29,Rural,Director,45,Male,96834.67128150172
Master,9,Suburban,Analyst,41,Male,112257.07959324372
High School,7,Urban,Engineer,36,Female,54711.0480306511
High School,2,Urban,Engineer,52,Male,50442.07521036797
PhD,5,Urban,Manager,41,Male,154677.29682143047
High School,13,Suburban,Director,37,Female,103723.30317535224
High School,19,Urban,Director,50,Male,99640.24197906828
High School,7,Urban,Engineer,36,Male,58008.87061573461
Bachelor,6,Rural,Analyst,54,Male,59734.10574128003
Master,12,Suburban,Engineer,54,Female,119412.99220315993
High School,6,Urban,Engineer,24,Female,60637.29855913215
High School,6,Rural,Manager,52,Male,55762.98547599145
High School,3,Rural,Manager,42,Male,75312.53559593308
High School,1,Urban,Analyst,56,Male,65965.08051066907
Master,16,Urban,Director,24,Female,145378.91372069393
Master,14,Urban,Analyst,42,Male,111516.30248819893
Bachelor,1,Suburban,Manager,41,Female,77209.03987733739
PhD,6,Rural,Analyst,54,Female,115249.02672349873
PhD,19,Suburban,Engineer,20,Female,130113.57026527364
PhD,19,Rural,Director,27,Female,156312.9362084037
Bachelor,4,Urban,Manager,23,Male,95820.99778809566
Master,8,Suburban,Analyst,59,Male,88909.6767374791
PhD,23,Urban,Manager,23,Male,163104.2755312551
PhD,28,Rural,Manager,58,Female,133976.69467114715
Bachelor,29,Urban,Director,24,Male,117235.26845638917
Master,6,Urban,Manager,57,Male,118098.06930900912
High School,8,Suburban,Manager,55,Female,71257.07865933598
Bachelor,8,Rural,Director,60,Male,94565.82135917408
High School,2,Rural,Manager,64,Male,66182.03348653117
High School,28,Rural,Manager,63,Female,79527.8982204147
PhD,5,Rural,Manager,28,Female,115015.15355069588
PhD,29,Urban,Director,63,Male,155079.84083441965
PhD,13,Rural,Analyst,21,Female,119967.70090087356
PhD,16,Suburban,Director,56,Female,147712.72307263393
Bachelor,10,Rural,Director,56,Male,74247.97373230735
PhD,14,Urban,Analyst,58,Female,133339.3896823029
High School,29,Urban,Engineer,52,Female,94614.49909551127
PhD,29,Urban,Director,56,Male,186452.8457268759
PhD,27,Suburban,Director,58,Male,156729.08389775958
Bachelor,20,Urban,Analyst,60,Female,94528.34132346758
High School,16,Suburban,Manager,37,Female,60167.65498087052
PhD,26,Rural,Analyst,38,Male,132986.72970149666
High School,16,Urban,Analyst,51,Female,84841.8672458082
PhD,27,Urban,Analyst,63,Male,132494.82054555468
PhD,17,Urban,Director,50,Male,171403.03641017622
PhD,19,Urban,Director,60,Female,155047.7793414994
Bachelor,5,Urban,Director,31,Male,121616.51861184771
High School,22,Rural,Analyst,64,Female,61210.57648608133
Master,24,Rural,Analyst,21,Male,107105.8207118821
Master,1,Rural,Manager,59,Male,84075.94262943542
Bachelor,20,Urban,Director,28,Female,118246.33644902532
Master,6,Suburban,Director,40,Male,117911.9709065475
PhD,3,Urban,Analyst,34,Male,128521.5347683867
High School,29,Suburban,Director,31,Female,100232.15890892466
High School,23,Suburban,Director,40,Male,103555.45603070543
PhD,26,Urban,Director,24,Male,167570.6946285781
High School,9,Rural,Manager,42,Female,89782.29962808275
Master,11,Rural,Engineer,29,Female,89616.76041784984
PhD,13,Suburban,Director,49,Female,148707.74075900653
PhD,12,Rural,Manager,38,Female,130504.10498333003
Bachelor,20,Suburban,Director,59,Female,118490.03562090176
PhD,20,Urban,Director,35,Female,161398.26597767652
High School,28,Suburban,Analyst,50,Female,61353.01960611086
High School,2,Urban,Engineer,38,Male,61089.67332142195
PhD,1,Rural,Manager,26,Female,121281.69873189996
PhD,5,Urban,Director,45,Female,127277.6888001958
PhD,6,Urban,Analyst,31,Male,106202.04384675653
Bachelor,20,Urban,Engineer,51,Male,97076.61324148857
High School,2,Urban,Engineer,54,Female,52264.71239826344
Bachelor,7,Rural,Director,34,Female,100429.76537866936
High School,13,Rural,Director,30,Male,73669.22159105899
High School,5,Rural,Engineer,59,Female,50604.16449520506
PhD,25,Suburban,Manager,62,Male,154646.42398866065
High School,5,Urban,Analyst,39,Male,62396.23914089497
Bachelor,7,Rural,Director,64,Female,97139.84534859276
PhD,2,Suburban,Engineer,20,Male,110873.6143963144
Bachelor,16,Rural,Manager,28,Female,87924.45958450134
Bachelor,14,Rural,Engineer,33,Female,77149.03019668574
PhD,25,Suburban,Engineer,37,Female,149072.04868183247
High School,4,Rural,Analyst,29,Female,58903.22810655946
Master,17,Rural,Manager,62,Female,136608.8081251391
Bachelor,3,Urban,Manager,30,Male,101655.25190671264
PhD,21,Rural,Analyst,24,Male,104518.81521769102
PhD,26,Rural,Engineer,46,Female,135543.85717225142
High School,15,Rural,Director,49,Male,93338.51221753072
PhD,1,Urban,Director,43,Male,129475.842710405
Bachelor,23,Rural,Engineer,27,Female,88189.55978005964
Master,24,Suburban,Director,27,Male,142882.8881396824
Bachelor,10,Rural,Analyst,29,Male,74897.08683666281
Master,10,Rural,Engineer,49,Male,102744.16995282008
Bachelor,14,Urban,Analyst,44,Male,91310.18682217276
Master,2,Suburban,Engineer,52,Male,83967.79917321586
High School,20,Urban,Engineer,55,Female,74842.43454714648
High School,10,Urban,Manager,61,Female,83719.55551564979
High School,8,Urban,Manager,63,Male,84620.05366451902
PhD,2,Rural,Analyst,59,Male,97925.34018579702
Bachelor,18,Suburban,Manager,23,Female,103473.04500041057
High School,18,Urban,Manager,33,Female,96893.75908155256
Bachelor,28,Urban,Director,36,Male,130113.23027609976
High School,4,Urban,Director,23,Male,94857.97224705933
PhD,8,Suburban,Analyst,35,Female,123610.02888497636
PhD,27,Urban,Manager,41,Male,159035.39700404613
PhD,6,Rural,Director,22,Male,134263.9176428062
High School,21,Suburban,Analyst,36,Female,79183.53730827161
PhD,22,Suburban,Engineer,27,Male,127751.06926899531
Bachelor,17,Suburban,Analyst,35,Male,98169.9055941535
High School,16,Suburban,Analyst,55,Male,58368.84204654964
Master,17,Urban,Director,27,Male,126430.43232054784
PhD,17,Suburban,Director,30,Male,163022.82564588025
High School,24,Urban,Director,27,Female,113240.20338262782
High School,2,Rural,Analyst,48,Male,70374.09661478276
High School,16,Rural,Manager,52,Male,66620.52404738512
Bachelor,23,Urban,Manager,37,Male,107518.6253221083
High School,25,Urban,Manager,46,Female,74817.18131645783
PhD,7,Rural,Analyst,33,Male,107360.03576669157
PhD,22,Rural,Engineer,45,Male,151013.40051848112
Bachelor,6,Urban,Manager,48,Male,92218.2195310701
PhD,7,Rural,Director,22,Female,140959.76211139612
High School,17,Urban,Director,63,Female,97852.52574570388
Bachelor,28,Suburban,Analyst,24,Male,92774.21458468054
Master,13,Urban,Engineer,62,Female,94710.23364704054
High School,9,Suburban,Manager,48,Male,57865.76988501196
Bachelor,16,Suburban,Analyst,39,Female,81956.47780376
High School,4,Rural,Director,62,Male,68111.86800466156
PhD,8,Rural,Analyst,26,Male,115028.8104444262
Bachelor,5,Rural,Manager,28,Male,90550.47942410434
Master,21,Urban,Director,53,Female,127582.95056575965
PhD,28,Suburban,Manager,45,Male,150828.36884275833
Bachelor,25,Suburban,Engineer,40,Female,111781.89364481598
Bachelor,25,Suburban,Manager,20,Female,98183.68685087073
High School,5,Rural,Manager,23,Female,59366.90640736085
Bachelor,16,Rural,Director,47,Male,106870.0138572766
Bachelor,17,Rural,Director,42,Male,107222.12664516484
Master,20,Suburban,Director,27,Female,143982.40622403615
PhD,4,Rural,Director,60,Female,130567.64945544896
Bachelor,6,Suburban,Analyst,58,Female,72686.91363970499
Bachelor,24,Urban,Analyst,53,Male,106774.33933793784
High School,29,Suburban,Manager,51,Male,90605.4567853522
High School,14,Rural,Director,21,Male,87889.91945003047
Master,17,Rural,Engineer,31,Female,120102.64603383328
