iter	Logloss
0	0.5929715914
1	0.5197904408
2	0.4669848096
3	0.4259059637
4	0.4005690176
5	0.3790335761
6	0.3634496895
7	0.352293755
8	0.3429694709
9	0.3347264583
10	0.3296892375
11	0.3251166042
12	0.3211790632
13	0.3178235361
14	0.3140868127
15	0.3111472508
16	0.3090122153
17	0.3065625231
18	0.3047769861
19	0.3029568519
20	0.3016868001
21	0.3009284546
22	0.299053442
23	0.297789936
24	0.2963789895
25	0.2953814016
26	0.2945895201
27	0.2938870697
28	0.2929700888
29	0.2922540418
30	0.2915413007
31	0.2906881614
32	0.2901542965
33	0.2894875371
34	0.2888853724
35	0.288254935
36	0.2877238778
37	0.2871594067
38	0.2867408226
39	0.2859597563
40	0.2852490503
41	0.2847023029
42	0.2842571686
43	0.2838607232
44	0.2833806146
45	0.2829618921
46	0.2825403198
47	0.2822009407
48	0.2818630179
49	0.2811441032
50	0.2806588406
51	0.2803308048
52	0.2798063583
53	0.2795767987
54	0.2787201633
55	0.2784374999
56	0.2778131356
57	0.2775163613
58	0.2772690013
59	0.2767690633
60	0.2763250307
61	0.2759985935
62	0.275679593
63	0.2754546319
64	0.2751511706
65	0.2747333663
66	0.2745395483
67	0.274212948
68	0.2740278309
69	0.2735811846
70	0.2732156602
71	0.272841186
72	0.2726988054
73	0.2723637075
74	0.2721490637
75	0.2718709593
76	0.2714290499
77	0.2712966465
78	0.2710814666
79	0.2709486849
80	0.2707298801
81	0.2704226812
82	0.2702487197
83	0.2699708754
84	0.269816551
85	0.2695185668
86	0.2693142445
87	0.269138751
88	0.2688879013
89	0.2686541043
90	0.2684722699
91	0.2681949705
92	0.2676277138
93	0.2671769569
94	0.2669388244
95	0.2666379032
96	0.2663791145
97	0.2661685459
98	0.266000931
99	0.2658424102
