iter	Passed	Remaining
0	5	562
1	11	583
2	17	577
3	23	572
4	29	559
5	35	557
6	41	549
7	47	543
8	53	539
9	59	534
10	65	525
11	70	520
12	77	519
13	83	511
14	89	508
15	95	502
16	101	497
17	108	492
18	114	486
19	119	479
20	125	472
21	131	467
22	137	461
23	143	454
24	149	447
25	154	440
26	160	434
27	166	427
28	172	421
29	177	414
30	184	410
31	190	405
32	197	400
33	203	394
34	209	389
35	215	382
36	221	377
37	227	371
38	233	364
39	238	358
40	245	352
41	251	346
42	257	341
43	262	334
44	268	328
45	275	323
46	281	317
47	287	311
48	292	304
49	298	298
50	303	291
51	309	286
52	315	280
53	321	273
54	327	267
55	333	261
56	339	256
57	345	250
58	351	244
59	358	239
60	365	233
61	370	227
62	376	221
63	381	214
64	387	208
65	393	202
66	399	196
67	405	190
68	411	184
69	416	178
70	422	172
71	429	166
72	435	160
73	441	155
74	447	149
75	453	143
76	459	137
77	465	131
78	470	125
79	476	119
80	482	113
81	488	107
82	494	101
83	499	95
84	505	89
85	510	83
86	516	77
87	521	71
88	527	65
89	533	59
90	539	53
91	544	47
92	550	41
93	556	35
94	562	29
95	568	23
96	574	17
97	579	11
98	586	5
99	637	0
