iter	RMSE
0	27362.33161
1	26697.3087
2	25932.6284
3	25171.71132
4	24464.32508
5	23800.00883
6	23192.86612
7	22615.66342
8	22029.66809
9	21440.80278
10	20906.95245
11	20496.05235
12	20050.02631
13	19576.32607
14	19161.6835
15	18759.64009
16	18381.46001
17	18035.29497
18	17678.61861
19	17291.20447
20	16985.70705
21	16636.95545
22	16269.27574
23	15957.06098
24	15638.9093
25	15337.14902
26	15069.55084
27	14822.93588
28	14603.92402
29	14362.77727
30	14135.99071
31	13928.75895
32	13725.05764
33	13530.55731
34	13335.14854
35	13134.90647
36	12958.10752
37	12783.92063
38	12662.96669
39	12526.74175
40	12361.38627
41	12229.19217
42	12105.31034
43	11972.14318
44	11836.47024
45	11722.55642
46	11637.20877
47	11520.51286
48	11409.23988
49	11321.17282
50	11224.44324
51	11142.10997
52	11057.12175
53	10968.94739
54	10898.25202
55	10822.40569
56	10756.82906
57	10685.0511
58	10613.98527
59	10532.30749
60	10476.35272
61	10419.62633
62	10353.19989
63	10315.58002
64	10280.76521
65	10236.0275
66	10188.43329
67	10146.44417
68	10093.51867
69	10060.28139
70	10031.74674
71	9988.547281
72	9947.823025
73	9910.201282
74	9874.389219
75	9836.598261
76	9802.869545
77	9775.383126
78	9743.959084
79	9726.208468
80	9695.025426
81	9667.919141
82	9640.570302
83	9616.746231
84	9593.81426
85	9572.681137
86	9550.859487
87	9527.814679
88	9506.333317
89	9483.481719
90	9461.287806
91	9441.715485
92	9413.466017
93	9395.10899
94	9377.53589
95	9358.352175
96	9337.831087
97	9322.358545
98	9308.188905
99	9285.253912
100	9270.143547
101	9252.5995
102	9233.105758
103	9214.052356
104	9201.792712
105	9188.994799
106	9184.788283
107	9167.517825
108	9153.623965
109	9138.790247
110	9126.576641
111	9106.158713
112	9094.200943
113	9077.349769
114	9062.476263
115	9052.064819
116	9042.056716
117	9029.274663
118	9024.751591
119	9014.056276
120	9002.563286
121	8984.671945
122	8973.203311
123	8963.329052
124	8953.670276
125	8940.968735
126	8929.246743
127	8915.579814
128	8906.010014
129	8894.423018
130	8883.161886
131	8871.195285
132	8862.822526
133	8853.432218
134	8849.349326
135	8840.284228
136	8830.549383
137	8822.053183
138	8811.953031
139	8802.856608
140	8789.230773
141	8782.602109
142	8770.271354
143	8758.99215
144	8748.195627
145	8735.534871
146	8722.685089
147	8709.904742
148	8700.597919
149	8693.227404
150	8681.301335
151	8671.875686
152	8658.241262
153	8648.538607
154	8638.622972
155	8628.570224
156	8620.333239
157	8606.139585
158	8594.514864
159	8585.055671
160	8583.061661
161	8571.169299
162	8560.985103
163	8547.066436
164	8534.010469
165	8524.307074
166	8514.349799
167	8500.635555
168	8489.641732
169	8478.221086
170	8466.658778
171	8456.208696
172	8447.281804
173	8436.003745
174	8427.304016
175	8416.367304
176	8405.820251
177	8399.704964
178	8388.152312
179	8377.143421
180	8369.875069
181	8362.775574
182	8355.36764
183	8344.931539
184	8336.600046
185	8324.804513
186	8317.416918
187	8308.676686
188	8299.169143
189	8291.343942
190	8283.734716
191	8266.777015
192	8259.309403
193	8254.530417
194	8244.031739
195	8235.90614
196	8227.005017
197	8218.947518
198	8209.619151
199	8200.613423
200	8191.645366
201	8184.522423
202	8172.615234
203	8163.601911
204	8157.629468
205	8149.487456
206	8140.928922
207	8130.330296
208	8116.051432
209	8104.213949
210	8098.130369
211	8085.898712
212	8080.569869
213	8070.959173
214	8061.961749
215	8051.334445
216	8045.641736
217	8039.653487
218	8036.104203
219	8026.757483
220	8019.518125
221	8008.189454
222	8001.400508
223	7989.422771
224	7981.825785
225	7972.828809
226	7955.499732
227	7950.690556
228	7938.923779
229	7933.810475
230	7926.379165
231	7919.024273
232	7911.2087
233	7897.8617
234	7891.432518
235	7882.774502
236	7876.601137
237	7870.158353
238	7858.746185
239	7846.644425
240	7835.439386
241	7825.065059
242	7816.311982
243	7810.425144
244	7802.371792
245	7789.128705
246	7776.680621
247	7770.760727
248	7762.966313
249	7753.32964
250	7747.960785
251	7736.98668
252	7728.485768
253	7718.208952
254	7707.378145
255	7702.891137
256	7690.70712
257	7682.765342
258	7669.533471
259	7662.894787
260	7655.565503
261	7646.173589
262	7635.971533
263	7628.515054
264	7621.189057
265	7614.782488
266	7605.327178
267	7594.554067
268	7589.438491
269	7581.991608
270	7572.847486
271	7565.416715
272	7559.59973
273	7548.552917
274	7541.06287
275	7533.569876
276	7528.891534
277	7521.621103
278	7513.727962
279	7510.077553
280	7501.399196
281	7493.816687
282	7486.717281
283	7476.530295
284	7470.702688
285	7464.980549
286	7457.270637
287	7450.12522
288	7443.82005
289	7437.362962
290	7431.828823
291	7421.770347
292	7409.981681
293	7402.131187
294	7392.201856
295	7384.378156
296	7380.300608
297	7372.228422
298	7364.958643
299	7356.143831
300	7349.730279
301	7344.310003
302	7336.77738
303	7330.67083
304	7326.01885
305	7320.056273
306	7310.751503
307	7306.366049
308	7300.160733
309	7290.715524
310	7282.392102
311	7278.669149
312	7269.360021
313	7259.181494
314	7250.100252
315	7242.592703
316	7234.296574
317	7229.753767
318	7223.840071
319	7217.623475
320	7213.355058
321	7208.750558
322	7200.787943
323	7194.136568
324	7186.458579
325	7183.626949
326	7177.461418
327	7166.038832
328	7159.510262
329	7151.898642
330	7146.066938
331	7140.281367
332	7132.765161
333	7124.390922
334	7120.329047
335	7110.954479
336	7104.017627
337	7095.142992
338	7088.507074
339	7083.884424
340	7077.319058
341	7071.976618
342	7066.138555
343	7057.621631
344	7052.53717
345	7047.728729
346	7038.100879
347	7028.108653
348	7024.120581
349	7019.222677
350	7011.814565
351	7004.506371
352	6996.464532
353	6992.272099
354	6985.597367
355	6981.319688
356	6974.098728
357	6966.705636
358	6959.995602
359	6950.273013
360	6946.38066
361	6942.574031
362	6936.326637
363	6928.783477
364	6921.553483
365	6916.830379
366	6912.497142
367	6906.169689
368	6900.799344
369	6897.107123
370	6892.597587
371	6885.29769
372	6878.382882
373	6873.789205
374	6869.608058
375	6863.488197
376	6859.274399
377	6854.173724
378	6849.783561
379	6840.742875
380	6837.138333
381	6830.274534
382	6826.07647
383	6819.459767
384	6815.999617
385	6810.246593
386	6802.768584
387	6792.254789
388	6788.861422
389	6782.095529
390	6778.242806
391	6774.303968
392	6771.025663
393	6766.930331
394	6759.404034
395	6754.398225
396	6750.763961
397	6744.405745
398	6736.655923
399	6732.886908
400	6727.870574
401	6723.326048
402	6715.524961
403	6709.179297
404	6702.109205
405	6698.359362
406	6692.26892
407	6687.46391
408	6683.585243
409	6679.695786
410	6675.10373
411	6668.364552
412	6662.465168
413	6655.909256
414	6651.122664
415	6647.890585
416	6643.668014
417	6640.344159
