iter	Passed	Remaining
0	61	61828
1	66	33173
2	70	23441
3	75	18752
4	79	15796
5	83	13897
6	87	12479
7	92	11443
8	96	10632
9	101	10094
10	106	9540
11	110	9094
12	114	8710
13	119	8384
14	123	8118
15	127	7847
16	131	7623
17	136	7464
18	141	7294
19	147	7247
20	152	7112
21	157	7010
22	162	6916
23	167	6799
24	172	6732
25	177	6631
26	181	6543
27	186	6460
28	190	6382
29	194	6304
30	199	6246
31	204	6189
32	209	6130
33	213	6068
34	217	6009
35	222	5961
36	226	5906
37	231	5865
38	236	5829
39	240	5783
40	245	5744
41	249	5698
42	254	5663
43	258	5621
44	263	5586
45	268	5560
46	273	5542
47	278	5520
48	282	5490
49	287	5465
50	292	5439
51	296	5408
52	301	5379
53	305	5360
54	310	5333
55	315	5322
56	321	5324
57	326	5310
58	332	5310
59	339	5314
60	345	5318
61	352	5326
62	358	5335
63	365	5350
64	372	5362
65	379	5376
66	387	5391
67	396	5429
68	408	5509
69	416	5535
70	425	5571
71	435	5612
72	443	5627
73	450	5640
74	458	5649
75	465	5655
76	472	5667
77	480	5680
78	487	5686
79	494	5689
80	502	5698
81	510	5711
82	517	5720
83	525	5732
84	533	5747
85	540	5747
86	548	5751
87	555	5752
88	561	5751
89	568	5749
90	575	5752
91	582	5751
92	589	5752
93	596	5752
94	605	5764
95	612	5766
96	618	5760
97	624	5752
98	631	5743
99	636	5729
100	642	5718
101	647	5704
102	653	5689
103	661	5698
104	667	5688
105	673	5677
106	678	5659
107	684	5650
108	689	5639
109	695	5630
110	702	5623
111	708	5614
112	714	5605
113	720	5598
114	726	5593
115	733	5586
116	739	5577
117	744	5567
118	751	5560
119	756	5551
120	762	5540
121	769	5534
122	775	5530
123	782	5525
124	788	5521
125	809	5614
126	818	5624
127	826	5632
128	835	5642
129	843	5642
130	849	5636
131	856	5632
132	862	5621
133	869	5616
134	874	5602
135	881	5597
136	887	5592
137	894	5585
138	901	5584
139	909	5584
140	917	5591
141	927	5605
142	934	5598
143	940	5589
144	946	5579
145	952	5568
146	958	5560
147	964	5551
148	970	5543
149	976	5533
150	983	5526
151	989	5518
152	995	5509
153	1001	5502
154	1007	5493
155	1013	5485
156	1019	5476
157	1026	5472
158	1033	5468
159	1040	5462
160	1047	5458
161	1053	5450
162	1059	5439
163	1065	5430
164	1071	5422
165	1077	5411
166	1083	5402
167	1089	5394
168	1096	5390
169	1102	5384
170	1109	5378
171	1115	5370
172	1122	5367
173	1129	5362
174	1136	5356
175	1145	5364
176	1157	5383
177	1169	5398
178	1180	5416
179	1190	5425
180	1204	5449
181	1218	5475
182	1227	5480
183	1239	5495
184	1247	5495
185	1254	5491
186	1263	5494
187	1273	5500
188	1282	5505
189	1291	5506
190	1298	5499
191	1305	5494
192	1316	5506
193	1324	5503
194	1333	5504
195	1341	5501
196	1348	5497
197	1363	5521
198	1371	5521
199	1380	5520
200	1387	5516
201	1396	5518
202	1404	5512
203	1411	5505
204	1418	5502
205	1425	5495
206	1434	5496
207	1441	5488
208	1447	5479
209	1455	5475
210	1462	5467
211	1467	5456
212	1473	5445
213	1479	5435
214	1486	5426
215	1492	5416
216	1498	5405
217	1504	5395
218	1511	5389
219	1518	5382
220	1525	5376
221	1531	5366
222	1538	5359
223	1544	5351
224	1552	5347
225	1561	5349
226	1572	5356
227	1582	5358
228	1590	5355
229	1599	5354
230	1607	5351
231	1616	5352
232	1625	5352
233	1637	5358
234	1645	5356
235	1652	5350
236	1663	5354
237	1671	5351
238	1681	5353
239	1690	5352
240	1698	5350
241	1706	5346
242	1713	5337
243	1720	5330
244	1727	5323
245	1733	5313
246	1741	5308
247	1747	5299
248	1755	5293
249	1762	5287
250	1769	5279
251	1779	5283
252	1787	5278
253	1795	5272
254	1801	5264
255	1810	5263
256	1818	5256
257	1827	5254
258	1838	5260
259	1850	5266
260	1860	5267
261	1869	5264
262	1877	5260
263	1885	5256
264	1894	5253
265	1902	5250
266	1910	5245
267	1934	5283
268	1942	5277
269	1948	5268
270	1956	5261
271	1962	5252
272	1969	5244
273	1975	5235
274	1982	5227
275	1992	5226
276	2001	5223
277	2008	5216
278	2015	5209
279	2022	5199
280	2028	5190
281	2034	5180
282	2040	5170
283	2046	5159
284	2052	5149
285	2058	5138
286	2064	5128
287	2070	5119
288	2077	5110
289	2083	5100
290	2089	5091
291	2096	5083
292	2103	5074
293	2109	5066
294	2116	5057
295	2122	5048
296	2130	5042
297	2137	5034
298	2143	5025
299	2150	5018
300	2157	5009
301	2164	5002
302	2171	4996
303	2179	4989
304	2187	4984
305	2195	4978
306	2202	4971
307	2209	4963
308	2215	4955
309	2222	4947
310	2229	4939
311	2236	4931
312	2242	4922
313	2249	4913
314	2255	4905
315	2262	4896
316	2268	4888
317	2274	4879
318	2281	4871
319	2287	4861
320	2294	4852
321	2300	4843
322	2306	4833
323	2312	4823
324	2318	4814
325	2324	4805
326	2330	4796
327	2336	4787
328	2342	4778
329	2348	4769
330	2354	4758
331	2360	4750
332	2367	4742
333	2374	4735
334	2380	4725
335	2386	4716
336	2392	4707
337	2398	4698
338	2404	4688
339	2410	4679
340	2416	4670
341	2423	4662
342	2429	4653
343	2435	4644
344	2441	4635
345	2447	4626
346	2453	4617
347	2460	4609
348	2466	4600
349	2472	4591
350	2478	4582
351	2484	4573
352	2490	4564
353	2496	4556
354	2502	4547
355	2509	4538
356	2515	4529
357	2521	4521
358	2527	4513
359	2533	4504
360	2539	4495
361	2545	4486
362	2551	4478
363	2558	4469
364	2564	4460
365	2570	4452
366	2576	4443
367	2582	4435
368	2588	4426
369	2594	4418
370	2600	4409
371	2606	4401
372	2613	4392
373	2619	4384
374	2630	4383
375	2638	4378
376	2645	4372
377	2651	4363
378	2659	4357
379	2665	4349
380	2672	4341
381	2679	4334
382	2685	4326
383	2692	4319
384	2699	4311
385	2705	4304
386	2712	4297
387	2719	4289
