iter	RMSE
0	26164.21778
1	24594.32638
2	22886.12413
3	21284.54211
4	19939.06301
5	18728.11774
6	17822.25973
7	16936.4352
8	16076.65086
9	15287.16272
10	14563.49717
11	14003.72164
12	13505.78755
13	13072.45759
14	12635.58333
15	12210.87165
16	11894.34122
17	11632.79434
18	11408.12078
19	11238.28013
20	11042.60087
21	10846.10882
22	10671.57142
23	10542.84358
24	10410.61073
25	10278.08768
26	10151.76797
27	10042.49696
28	9954.443489
29	9860.561289
30	9761.753301
31	9681.591961
32	9614.129819
33	9549.812403
34	9492.657961
35	9443.490963
36	9407.092041
37	9360.452893
38	9317.548148
39	9268.626893
40	9204.809563
41	9148.833488
42	9112.474885
43	9075.645574
44	9031.547585
45	8992.817943
46	8952.248309
47	8923.192918
48	8892.373734
49	8875.078594
